iter	Passed	Remaining
0	0	743
1	1	754
2	2	862
3	3	830
4	3	793
5	4	763
6	5	732
7	5	708
8	6	699
9	6	687
10	7	677
11	8	666
12	8	661
13	9	656
14	9	648
15	10	642
16	11	637
17	11	631
18	12	624
19	12	620
20	13	619
21	13	618
22	14	615
23	15	613
24	15	610
25	16	607
26	16	605
27	17	611
28	18	610
29	18	611
30	19	610
31	20	606
32	20	604
33	21	602
34	21	600
35	22	600
36	22	597
37	23	595
38	24	593
39	24	591
40	25	589
41	25	587
42	26	586
43	26	585
44	27	583
45	28	582
46	28	580
47	29	579
48	29	578
49	30	576
50	30	575
51	31	574
52	32	579
53	33	579
54	33	579
55	34	578
56	34	578
57	35	576
58	36	574
59	36	573
60	37	572
61	37	570
62	38	569
63	38	567
64	39	566
65	39	565
66	40	564
67	41	562
68	41	561
69	42	560
70	42	558
71	43	557
72	43	556
73	44	555
74	44	554
75	45	553
76	46	552
77	46	551
78	47	555
79	48	555
80	48	554
81	49	553
82	49	549
83	50	548
84	50	547
85	51	546
86	52	545
87	52	545
88	53	543
89	53	542
90	54	541
91	54	540
92	55	539
93	55	538
94	56	537
95	56	536
96	57	535
97	58	534
98	58	533
99	59	533
100	59	531
101	60	530
102	60	529
103	61	530
104	62	529
105	62	530
106	63	530
107	64	529
108	64	528
109	65	528
110	66	530
111	67	531
112	67	531
113	68	531
114	68	530
115	69	529
116	69	528
117	70	527
118	71	527
119	71	526
120	72	525
121	72	524
122	73	523
123	73	522
124	74	521
125	75	520
126	75	519
127	76	518
128	76	517
129	77	517
130	77	516
131	78	518
132	79	517
133	79	516
134	80	515
135	80	514
136	81	513
137	81	511
138	82	510
139	82	509
140	83	508
141	83	505
142	84	504
143	84	503
144	85	502
145	85	501
146	86	500
147	86	499
148	87	497
149	87	496
150	88	495
151	88	494
152	89	493
153	89	492
154	90	491
155	90	490
156	91	489
157	91	488
158	92	488
159	93	490
160	93	488
161	94	487
162	94	486
163	95	485
164	95	484
165	96	483
166	96	482
167	97	481
168	97	480
169	98	479
170	98	478
171	99	477
172	99	476
173	100	475
174	100	474
175	101	473
176	101	472
177	102	472
178	102	471
179	103	470
180	103	469
181	104	468
182	104	467
183	105	466
184	105	465
185	106	464
186	106	463
187	107	463
188	108	464
189	108	463
190	109	462
191	109	462
192	110	461
193	110	460
194	111	459
195	111	458
196	112	457
197	112	456
198	113	455
199	113	455
200	114	454
201	114	453
202	115	452
203	115	451
204	116	450
205	116	449
206	117	449
207	117	448
208	118	447
209	118	446
210	119	445
211	119	444
212	120	444
213	120	443
214	121	442
215	122	443
216	123	444
217	123	444
218	124	443
219	124	442
220	125	442
221	125	441
222	126	440
223	126	439
224	127	438
225	127	438
226	128	437
227	128	436
228	129	435
229	129	434
230	130	433
231	130	433
232	131	432
233	131	431
234	132	430
235	132	429
236	133	429
237	133	428
238	134	427
239	134	426
240	135	425
241	135	425
242	136	424
243	136	423
244	137	423
245	138	423
246	138	422
247	139	422
248	140	422
249	140	422
250	141	422
251	142	422
252	142	421
253	143	422
254	144	421
255	144	421
256	145	420
257	146	419
258	146	419
259	147	418
260	147	417
261	148	416
262	148	416
263	148	415
264	149	414
265	149	413
266	150	413
267	150	412
268	151	411
269	151	410
270	152	409
271	152	409
272	153	408
273	154	408
274	155	408
275	155	408
276	156	407
277	156	407
278	157	407
279	158	407
280	158	406
281	159	405
282	159	405
283	160	404
284	160	403
285	161	403
286	162	402
287	162	402
288	163	401
289	163	400
290	164	400
291	164	399
292	165	398
293	165	397
294	166	397
295	166	396
296	167	395
297	167	395
298	168	395
299	169	394
300	169	394
301	170	393
302	170	393
303	171	393
304	172	392
305	172	391
306	173	391
307	173	390
308	174	389
309	174	389
310	175	388
311	175	387
312	176	387
313	176	386
314	177	385
315	177	385
316	178	384
317	178	383
318	179	382
319	179	382
320	180	381
321	180	380
322	181	380
323	181	379
324	182	378
325	182	378
326	183	378
327	184	378
328	185	377
329	185	377
330	186	376
331	187	376
332	187	376
333	188	375
334	188	374
335	189	374
336	189	373
337	190	372
338	190	372
339	191	371
340	191	370
341	192	370
342	192	369
343	193	368
344	193	368
345	194	367
346	194	366
347	195	365
348	195	365
349	196	364
350	196	363
351	197	363
352	198	363
353	198	363
354	199	362
355	200	362
356	200	361
357	201	361
358	202	361
359	202	360
360	203	359
361	203	359
362	204	359
363	205	358
364	205	357
365	206	357
366	206	356
367	207	355
368	207	355
369	208	354
370	208	353
371	209	353
372	209	352
373	210	351
374	210	351
375	211	350
376	211	349
377	212	349
378	212	348
379	213	348
380	214	348
381	215	348
382	215	347
383	216	346
384	216	346
385	217	345
386	217	344
387	218	344
388	218	343
389	219	343
390	219	342
391	220	342
392	221	341
393	221	340
394	222	340
395	222	339
396	222	338
397	223	338
398	223	337
399	224	336
400	224	335
401	225	335
402	225	334
403	226	334
404	226	333
405	227	332
406	228	332
407	229	332
408	229	331
409	230	331
410	230	330
411	231	330
412	232	330
413	232	329
414	233	328
415	233	328
416	234	327
417	234	327
418	235	326
419	235	325
420	236	325
421	236	324
422	237	323
423	237	323
424	238	322
425	238	321
426	239	321
427	239	320
428	240	319
429	240	319
430	241	318
431	241	317
432	242	317
433	242	316
434	243	316
435	244	315
436	244	315
437	245	314
438	245	314
439	246	313
440	246	312
441	247	312
442	247	311
443	248	310
444	248	310
445	249	309
446	249	309
447	250	308
448	250	308
449	251	307
450	251	306
451	252	305
452	252	305
453	253	304
454	253	304
